timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712853476481,24,HTTP Request,200,OK,Testovaci scenar 1-2,text,true,,15205,1113,5,5,https://www.shmu.sk/sk/?page=1,6,0,3
1712853476481,6,HTTP Request-0,302,Moved Temporarily,Testovaci scenar 1-2,,true,,131,370,5,5,http://www.shmu.sk/?page=1,6,0,3
1712853476487,12,HTTP Request-1,301,Moved Permanently,Testovaci scenar 1-2,text,true,,319,370,5,5,https://www.shmu.sk/?page=1,12,0,0
1712853476499,6,HTTP Request-2,200,OK,Testovaci scenar 1-2,text,true,,14755,373,5,5,https://www.shmu.sk/sk/?page=1,5,0,0
1712853489516,7,HTTP Request,200,OK,Testovaci scenar 1-2,text,true,,14755,471,2,2,https://www.shmu.sk/sk/?page=1,7,0,0
1712853489524,0,Vyhladat slovo Tatry,,,Testovaci scenar 1-2,,true,,0,0,2,2,null,0,0,0
1712853464729,30,Home page - shmu.sk,200,"Number of samples in transaction : 2, number of failing samples : 0",Testovaci scenar 1-3,,true,,29712,1584,1,1,null,0,26006,3
1712853477734,23,HTTP Request,200,OK,Testovaci scenar 1-3,text,true,,15081,1113,5,5,https://www.shmu.sk/sk/?page=1,6,0,3
1712853477734,6,HTTP Request-0,302,Moved Temporarily,Testovaci scenar 1-3,,true,,131,370,5,5,http://www.shmu.sk/?page=1,6,0,3
1712853477741,7,HTTP Request-1,301,Moved Permanently,Testovaci scenar 1-3,text,true,,319,370,5,5,https://www.shmu.sk/?page=1,7,0,0
1712853477748,9,HTTP Request-2,200,OK,Testovaci scenar 1-3,text,true,,14631,373,5,5,https://www.shmu.sk/sk/?page=1,9,0,0
1712853490758,7,HTTP Request,200,OK,Testovaci scenar 1-3,text,true,,14631,471,1,1,https://www.shmu.sk/sk/?page=1,7,0,0
1712853490765,0,Vyhladat slovo Tatry,,,Testovaci scenar 1-3,,true,,0,0,1,1,null,0,0,0
